Age,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Workout_Frequency (days/week),BMI,Base_MET,HR_Intensity,Calories_Burned (kcal)
56,149.0,62.0,1.33,1,11.0,7,22.5,9.5,0.8446601941747572,45.11687595755898
58,152.0,68.0,0.77,1,23.6,4,23.3,9.5,0.8484848484848485,36.27270567911288
45,170.0,64.0,0.72,1,22.4,4,25.0,9.5,0.848,42.01363425121811
24,177.0,81.0,0.7,1,21.3,3,27.9,9.5,0.8495575221238938,35.43260610751007
26,140.0,71.0,0.27,4,27.7,3,19.6,3.0,0.552,7.011104260855048
25,153.0,68.0,0.76,0,18.2,3,24.4,7.0,0.648854961832061,27.959973297718403
29,141.0,75.0,0.67,4,26.5,2,18.0,3.0,0.5546218487394958,13.231546211727816
51,125.0,66.0,0.44,4,18.8,5,22.9,3.0,0.5462962962962963,12.953260514014993
50,140.0,61.0,0.98,3,13.8,7,28.3,6.0,0.6929824561403509,33.676322680455726
40,137.0,60.0,1.32,0,18.8,6,21.1,7.0,0.652542372881356,34.518488468171846
41,151.0,72.0,0.41,3,26.2,2,24.7,6.0,0.6991150442477876,20.297981971469977
54,121.0,67.0,0.43,4,15.3,3,21.9,3.0,0.5510204081632653,11.62350909274112
52,140.0,73.0,0.69,3,16.6,3,20.6,6.0,0.6979166666666666,24.57066051117284
57,127.0,79.0,0.25,4,33.4,3,27.9,3.0,0.5517241379310345,9.29601699715435
39,149.0,64.0,0.92,2,8.0,7,19.8,8.0,0.7522123893805309,29.106269464530783
44,131.0,73.0,0.95,4,24.4,4,25.2,3.0,0.5523809523809524,18.000000000000004
52,132.0,58.0,1.31,0,8.0,5,25.2,7.0,0.6548672566371682,42.86423965699184
18,154.0,65.0,0.27,3,21.6,3,20.6,6.0,0.6953125,14.358484037342826
52,161.0,79.0,0.35,1,24.1,3,24.6,9.5,0.8541666666666666,25.568097504180443
54,149.0,75.0,1.03,1,29.7,3,20.3,9.5,0.8505747126436781,44.51881339845202
31,150.0,76.0,0.5,0,36.2,2,26.1,7.0,0.6491228070175439,22.132965006397367
20,163.0,64.0,0.9,3,17.6,4,18.7,6.0,0.7021276595744681,25.949955277245074
18,183.0,59.0,0.84,1,16.2,7,22.6,9.5,0.8493150684931506,39.97618372363072
22,165.0,76.0,0.63,3,26.4,2,23.0,6.0,0.7007874015748031,23.526456863419174
43,167.0,76.0,0.63,1,25.4,2,28.5,9.5,0.8504672897196262,38.684149247587825
31,150.0,81.0,0.57,0,29.2,2,24.6,7.0,0.6509433962264151,24.540535036053807
56,146.0,72.0,0.94,1,19.4,3,27.8,9.5,0.8505747126436781,42.77945957690869
44,163.0,76.0,0.77,1,27.6,5,26.2,9.5,0.8529411764705882,41.43731115066862
26,179.0,73.0,0.94,1,23.7,5,26.2,9.5,0.848,41.57981183988752
32,146.0,57.0,1.0,0,20.5,6,22.7,7.0,0.6496350364963503,32.4615728021807
32,140.0,76.0,0.65,4,22.1,5,28.1,3.0,0.5517241379310345,17.979989989987484
43,144.0,73.0,1.12,3,20.5,5,22.6,6.0,0.696078431372549,31.94701754204631
59,141.0,67.0,1.1,2,24.9,7,18.0,8.0,0.7551020408163265,32.199415199678484
30,153.0,75.0,1.08,2,24.4,5,23.1,8.0,0.75,38.82646200688959
49,162.0,74.0,0.58,1,26.3,3,25.8,9.5,0.8543689320388349,33.202272653906874
56,135.0,78.0,0.37,3,25.8,2,18.0,6.0,0.6951219512195121,16.341210428976602
49,152.0,70.0,0.6,1,28.9,3,20.5,9.5,0.8541666666666666,31.23251419919956
21,162.0,63.0,1.39,3,21.0,4,19.1,6.0,0.6971830985915493,37.002564018279614
47,148.0,73.0,0.9,2,34.6,4,27.1,8.0,0.75,41.49712634186308
54,151.0,75.0,0.68,1,34.3,3,30.7,9.5,0.8444444444444444,41.09060222368678
40,158.0,65.0,0.95,1,18.5,4,23.2,9.5,0.8532110091743119,44.79743582719037
56,136.0,66.0,0.82,3,23.6,3,26.1,6.0,0.7,29.11912595173586
32,140.0,77.0,0.34,4,28.7,3,26.0,3.0,0.5478260869565217,10.83744522870497
46,156.0,63.0,0.71,1,16.0,5,30.2,9.5,0.8532110091743119,41.34051222586093
53,133.0,65.0,0.92,2,17.1,5,21.4,8.0,0.7472527472527473,36.10511776651529
30,179.0,73.0,0.31,1,26.4,2,23.1,9.5,0.848,25.712812921102035
49,130.0,56.0,1.32,0,12.8,7,22.6,7.0,0.6491228070175439,39.01219330881976
24,152.0,74.0,0.46,0,21.4,2,24.3,7.0,0.65,23.274493071078595
39,131.0,71.0,1.01,4,20.6,6,34.0,3.0,0.5454545454545454,24.58571044753177
45,137.0,58.0,1.14,3,8.0,5,24.1,6.0,0.6991150442477876,35.266607036326775
19,156.0,64.0,1.03,0,16.9,7,20.6,7.0,0.6524822695035462,28.828558188796315
59,149.0,64.0,0.71,1,26.8,4,19.4,9.5,0.8415841584158416,36.80206180088887
23,178.0,57.0,1.31,1,17.5,7,29.0,9.5,0.852112676056338,63.259482069657885
45,155.0,81.0,0.25,3,25.9,2,20.6,6.0,0.6981132075471698,13.375304875026057
45,135.0,68.0,0.54,0,26.6,3,26.7,7.0,0.6442307692307693,24.465071320516028
37,159.0,70.0,1.08,2,17.2,3,21.3,8.0,0.7478991596638656,38.831360496559505
47,130.0,56.0,1.54,3,9.7,5,18.9,6.0,0.6981132075471698,36.351010416936866
28,165.0,73.0,0.67,2,14.0,3,26.4,8.0,0.7540983606557377,32.31034829318992
45,167.0,61.0,1.14,1,13.1,7,21.5,9.5,0.848,41.66234075264404
42,150.0,81.0,0.62,2,28.5,2,25.7,8.0,0.75,31.448467827390843
56,141.0,69.0,1.09,3,16.2,7,26.0,6.0,0.6990291262135923,35.841775856849004
50,127.0,60.0,0.75,0,15.4,7,26.2,7.0,0.6504854368932039,31.14211821836377
18,166.0,74.0,0.55,3,18.4,5,22.9,6.0,0.7022900763358778,22.99599967994879
44,124.0,64.0,1.13,4,15.6,6,26.7,3.0,0.5454545454545454,21.25510696599781
30,134.0,70.0,0.66,4,23.1,3,20.3,3.0,0.5517241379310345,14.757088052522732
58,135.0,64.0,1.18,2,12.9,7,18.0,8.0,0.7473684210526316,36.01052485825472
20,179.0,61.0,1.05,1,9.7,7,26.8,9.5,0.8489208633093526,47.24631965944258
56,133.0,77.0,0.83,0,23.7,3,24.7,7.0,0.6511627906976745,30.09984423638221
23,165.0,68.0,1.17,2,28.5,3,21.6,8.0,0.751937984496124,35.10525569242179
25,157.0,66.0,0.57,3,17.4,5,18.1,6.0,0.6946564885496184,19.79908254950194
44,129.0,70.0,0.77,4,27.5,3,18.0,3.0,0.5514018691588785,14.757088052522732
26,146.0,58.0,0.77,0,25.3,3,24.2,7.0,0.6470588235294118,29.496031496047248
54,122.0,71.0,0.44,4,26.2,2,30.6,3.0,0.5483870967741935,15.239489551607958
50,141.0,82.0,0.86,0,22.5,3,23.4,7.0,0.6555555555555556,29.811947441173736
59,132.0,74.0,0.71,0,33.2,3,22.6,7.0,0.651685393258427,27.549957698785295
41,127.0,62.0,1.34,4,13.2,6,23.9,3.0,0.5462184873949579,23.49509756796392
32,139.0,80.0,0.5,4,26.9,3,32.7,3.0,0.5462962962962963,17.67739820199815
49,136.0,64.0,0.89,3,16.6,4,27.0,6.0,0.6923076923076923,31.852621759621517
49,142.0,73.0,0.59,3,34.8,3,20.3,6.0,0.7040816326530612,20.39642828667107
41,138.0,64.0,1.4,0,9.6,5,24.1,7.0,0.6491228070175439,41.712698383879264
58,123.0,56.0,0.97,3,13.5,7,25.3,6.0,0.6979166666666666,35.87875393937873
29,157.0,67.0,0.95,3,23.1,5,19.8,6.0,0.6976744186046512,27.23012145031218
56,138.0,75.0,0.41,3,29.1,3,27.0,6.0,0.7,22.06657433038612
19,155.0,70.0,1.02,0,28.7,4,20.7,7.0,0.648854961832061,33.34402354005553
20,184.0,82.0,0.83,1,28.8,2,18.0,9.5,0.8429752066115702,36.96151947755632
54,149.0,75.0,0.8,1,20.8,4,24.3,9.5,0.8505747126436781,40.42169256406444
34,161.0,68.0,0.37,2,25.3,3,23.7,8.0,0.744,21.25510696599781
19,185.0,74.0,0.44,1,24.1,3,24.0,9.5,0.8473282442748091,28.83504499753487
19,134.0,59.0,1.09,4,17.6,6,20.9,3.0,0.5514705882352942,19.213203435596427
45,119.0,55.0,1.37,4,15.9,5,21.5,3.0,0.5470085470085471,22.617067250182338
40,149.0,70.0,1.01,3,21.7,5,28.5,6.0,0.6991150442477876,35.661651583540525
54,145.0,78.0,0.38,2,27.1,2,25.8,8.0,0.7528089887640449,23.22696969514967
49,142.0,75.0,0.7,3,27.2,3,20.2,6.0,0.6979166666666666,24.698314553544392
50,139.0,62.0,1.06,3,8.0,6,18.0,6.0,0.7,29.61012496020855
18,172.0,58.0,1.28,1,13.5,7,20.3,9.5,0.8444444444444444,47.642723535277554
36,147.0,70.0,0.56,3,27.7,3,24.6,6.0,0.7064220183486238,22.421302176583463
19,163.0,58.0,1.25,2,13.0,7,21.5,8.0,0.75,40.175822457896416
43,164.0,67.0,1.08,1,11.9,6,21.2,9.5,0.8508771929824561,46.26178612525649
49,139.0,77.0,1.15,2,24.8,3,21.6,8.0,0.7469879518072289,35.58723187466722
23,156.0,57.0,1.33,3,14.5,7,23.7,6.0,0.7021276595744681,31.905751724449345
49,140.0,71.0,1.12,3,18.2,3,27.1,6.0,0.7040816326530612,39.50180718956707
21,184.0,81.0,0.63,1,22.2,2,24.0,9.5,0.8512396694214877,36.277930978567795
28,155.0,79.0,0.67,0,27.2,3,24.2,7.0,0.6495726495726496,27.926576817270625
34,177.0,76.0,0.5,1,22.1,3,23.1,9.5,0.8559322033898306,28.47622023808071
55,123.0,55.0,0.99,0,17.9,7,22.0,7.0,0.6538461538461539,33.0314144732981
41,137.0,66.0,1.03,0,19.6,6,27.6,7.0,0.6513761467889908,36.86386496477157
22,179.0,73.0,0.81,1,23.7,3,27.0,9.5,0.848,38.3583944180142
51,145.0,73.0,0.96,3,22.2,3,32.2,6.0,0.6990291262135923,39.49216793564781
23,166.0,66.0,0.88,2,22.8,5,26.4,8.0,0.7518796992481203,38.114835161072264
39,147.0,66.0,0.92,3,32.5,4,22.0,6.0,0.6982758620689655,28.21258016125071
28,152.0,65.0,1.1,0,21.3,4,20.4,7.0,0.6541353383458647,31.286633954186478
33,131.0,65.0,0.54,4,27.9,5,27.8,3.0,0.55,12.724129855444769
50,151.0,76.0,0.4,2,28.4,3,20.7,8.0,0.75,22.535688292770587
26,161.0,65.0,0.68,3,32.4,2,27.2,6.0,0.6956521739130435,28.006665926090488
23,142.0,76.0,0.54,4,22.7,3,21.0,3.0,0.55,12.352700094407323
33,123.0,55.0,0.8,4,13.3,7,25.4,3.0,0.5483870967741935,18.89976076418101
46,150.0,75.0,0.97,2,24.1,5,19.8,8.0,0.75,31.075670817082454
20,157.0,67.0,1.09,0,24.4,5,27.1,7.0,0.6521739130434783,35.64571688784795
37,128.0,58.0,0.76,4,20.2,7,19.1,3.0,0.5511811023622047,13.607690412101336
53,120.0,71.0,0.74,4,28.5,5,25.1,3.0,0.550561797752809,16.297540818372287
36,159.0,64.0,1.21,2,8.0,6,23.2,8.0,0.753968253968254,41.89533004773971
43,166.0,81.0,0.6,1,25.9,2,24.4,9.5,0.85,35.48599738569057
20,170.0,66.0,1.37,2,21.9,6,22.4,8.0,0.7482014388489209,42.62286409454239
36,148.0,71.0,0.63,0,23.9,2,22.3,7.0,0.6470588235294118,23.416530054277665
37,148.0,71.0,1.04,3,24.6,5,24.6,6.0,0.7064220183486238,36.507142194663054
49,142.0,61.0,0.51,3,17.7,4,20.0,6.0,0.7043478260869566,22.947945807220275
24,138.0,70.0,0.95,4,21.4,5,20.0,3.0,0.5528455284552846,17.005262429127356
58,114.0,62.0,1.03,4,19.1,5,22.6,3.0,0.5531914893617021,17.92987706936498
50,124.0,73.0,0.58,4,30.2,3,22.4,3.0,0.5483870967741935,14.89970413942209
57,133.0,56.0,0.94,3,21.8,5,20.0,6.0,0.7,25.276363393971717
56,132.0,62.0,1.29,3,17.3,6,27.7,6.0,0.7,38.34352488318292
35,155.0,85.0,0.66,0,24.9,3,22.7,7.0,0.6542056074766355,24.6608326951729
57,153.0,62.0,1.08,1,15.8,7,23.1,9.5,0.8504672897196262,42.40720662234903
18,184.0,68.0,0.86,1,14.8,3,18.7,9.5,0.8467153284671532,35.56594202199647
28,136.0,59.0,1.04,4,15.4,6,32.3,3.0,0.55,21.723406163533937
45,133.0,67.0,0.82,0,15.8,6,33.7,7.0,0.6470588235294118,35.62977544445356
42,165.0,62.0,0.86,1,21.5,3,20.9,9.5,0.8512396694214877,38.54626986542658
40,131.0,68.0,0.84,4,26.3,2,28.9,3.0,0.5478260869565217,18.445048300260872
48,150.0,61.0,0.91,1,19.6,5,23.6,9.5,0.8476190476190476,41.24349662087931
47,155.0,72.0,0.59,1,26.3,2,30.4,9.5,0.8556701030927835,38.02499219237901
59,136.0,79.0,1.17,3,18.7,4,25.3,6.0,0.7037037037037037,37.410658456818496
52,135.0,75.0,0.61,0,30.5,2,24.4,7.0,0.6521739130434783,25.459060435491963
24,159.0,72.0,0.6,3,20.2,2,18.0,6.0,0.7016129032258065,21.765521244020714
33,135.0,75.0,0.69,4,29.3,3,20.5,3.0,0.5504587155963303,14.792855623746666
43,165.0,55.0,0.82,1,15.8,7,24.1,9.5,0.8527131782945736,41.9499715585801
19,156.0,65.0,0.92,3,24.4,5,24.8,6.0,0.7,33.597752738059185
18,156.0,61.0,1.03,3,19.8,7,19.1,6.0,0.7037037037037037,26.621670111997307
29,147.0,55.0,1.47,3,20.1,7,21.1,6.0,0.7022900763358778,35.31487638998688
22,176.0,71.0,0.82,1,17.0,5,26.2,9.5,0.8467741935483871,46.81393243736875
54,150.0,78.0,0.54,1,28.5,2,18.5,9.5,0.8571428571428571,27.806039656418626
49,127.0,64.0,0.83,4,16.9,4,24.5,3.0,0.5478260869565217,14.780941570722428
26,150.0,55.0,1.23,3,15.5,6,29.0,6.0,0.6985294117647058,38.565995612088706
58,147.0,69.0,0.67,1,24.0,3,25.5,9.5,0.8478260869565217,37.77939164944583
52,120.0,69.0,0.75,4,19.7,4,25.3,3.0,0.5483870967741935,14.223439832538597
36,132.0,71.0,1.1,4,16.6,4,18.0,3.0,0.5495495495495496,18.726794252850585
33,155.0,72.0,0.86,3,18.5,5,20.7,6.0,0.7033898305084746,25.892651361962713
20,137.0,55.0,1.09,4,11.1,5,32.2,3.0,0.5540540540540541,24.168683574073796
37,158.0,69.0,0.84,2,24.6,4,21.6,8.0,0.7478991596638656,32.525353003264144
41,139.0,75.0,0.51,0,38.8,3,29.1,7.0,0.6464646464646465,23.400787389370432
50,121.0,66.0,0.89,4,8.2,6,21.6,3.0,0.5445544554455446,15.60681686165901
41,143.0,69.0,0.94,0,20.5,5,22.9,7.0,0.6491228070175439,29.368774282716238
28,136.0,68.0,0.43,4,20.7,3,26.1,3.0,0.5483870967741935,13.362291495737217
25,156.0,66.0,0.61,3,30.9,2,24.4,6.0,0.6976744186046512,24.298288917722388
53,131.0,59.0,1.08,0,16.8,7,25.5,7.0,0.6486486486486487,34.41428291206625
55,136.0,72.0,0.38,0,28.0,2,20.7,7.0,0.6530612244897959,17.047309521294604
57,126.0,65.0,1.01,0,21.8,5,19.5,7.0,0.6421052631578947,31.823069050575523
37,144.0,71.0,0.33,0,30.3,3,20.5,7.0,0.6576576576576577,18.35681703999915
52,120.0,63.0,1.17,4,23.3,7,21.9,3.0,0.5480769230769231,21.323807579381207
42,133.0,57.0,0.93,0,20.6,5,23.1,7.0,0.6551724137931034,32.31034829318992
52,142.0,79.0,0.54,3,26.3,4,28.1,6.0,0.7,25.305677065401614
42,141.0,61.0,0.84,3,20.6,5,24.3,6.0,0.7017543859649122,26.913664589601918
46,146.0,63.0,0.73,2,14.8,7,25.9,8.0,0.7477477477477478,33.24202037341219
35,149.0,57.0,1.04,3,8.0,7,24.6,6.0,0.7022900763358778,31.442487945725567
35,128.0,57.0,1.09,4,15.1,5,19.5,3.0,0.5503875968992248,15.753872816937717
19,157.0,64.0,0.9,3,19.4,5,24.1,6.0,0.6992481203007519,32.0587727318528
52,153.0,64.0,0.95,1,28.3,5,24.5,9.5,0.8476190476190476,42.11349000022555
33,147.0,71.0,0.93,0,22.7,5,27.0,7.0,0.6495726495726496,36.49155751590211
58,131.0,65.0,0.97,3,24.0,7,19.7,6.0,0.7021276595744681,29.755314515841274
53,117.0,62.0,0.99,4,16.5,6,18.0,3.0,0.5445544554455446,16.729655629509047
50,138.0,61.0,1.29,3,15.4,7,24.7,6.0,0.7,38.288956303185614
21,142.0,80.0,0.47,4,20.2,3,25.4,3.0,0.5535714285714286,12.422205101855958
50,150.0,64.0,0.92,1,27.7,7,23.3,9.5,0.8514851485148515,47.10397132615651
31,142.0,66.0,0.81,0,28.8,5,24.1,7.0,0.6495726495726496,29.742715699826316
38,160.0,67.0,0.76,1,18.4,5,27.5,9.5,0.8532110091743119,42.53762454374952
37,165.0,77.0,0.39,1,29.7,2,22.2,9.5,0.8461538461538461,24.922109872742148
25,166.0,64.0,1.28,2,18.1,5,22.9,8.0,0.75,40.06661384043171
24,158.0,82.0,0.78,0,29.9,3,24.3,7.0,0.6495726495726496,30.093613071762427
20,184.0,64.0,0.71,1,20.7,5,19.1,9.5,0.851063829787234,33.66510900025402
34,167.0,77.0,0.95,1,15.1,5,23.4,9.5,0.8490566037735849,40.885895117159436
50,127.0,67.0,0.92,0,25.6,3,23.7,7.0,0.6451612903225806,28.509015061125787
29,170.0,69.0,1.16,1,16.8,5,30.5,9.5,0.8487394957983193,50.50904683956851
39,148.0,59.0,1.21,3,19.3,7,22.8,6.0,0.6953125,36.62641583165594
39,148.0,76.0,0.73,3,27.2,3,24.8,6.0,0.6990291262135923,26.213471959331766
47,138.0,55.0,1.13,3,15.5,7,27.7,6.0,0.7033898305084746,35.825917041097625
55,136.0,85.0,0.45,0,20.9,2,20.7,7.0,0.6455696202531646,21.655866080107913
55,138.0,67.0,1.21,3,24.3,4,29.5,6.0,0.7029702970297029,36.47076812334268
25,181.0,75.0,0.6,1,23.4,3,31.1,9.5,0.8548387096774194,37.537324138085026
44,137.0,63.0,0.59,3,18.3,3,23.9,6.0,0.7047619047619048,22.754797514825277
44,139.0,66.0,1.16,2,18.2,4,21.8,8.0,0.7448979591836735,43.263671967704965
51,136.0,69.0,1.03,0,22.0,4,30.5,7.0,0.6504854368932039,42.971101832176636
38,131.0,70.0,0.92,4,30.2,3,27.2,3.0,0.5495495495495496,20.538855339169288
47,143.0,66.0,1.12,3,18.1,5,24.3,6.0,0.7,35.61382724477796
